2026-07-30T06:36:28.822Z {"method":"POST","path":"/api/auth/login","status":401,"userId":"u1","role":"user","ip":"127.0.0.1","durationMs":0}
2026-07-30T06:36:33.616Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.643Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.655Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.659Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.666Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.694Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.701Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.704Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.725Z {"method":"GET","path":"/api/admin/users?page=1&limit=10","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":5}
2026-07-30T06:36:33.739Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.749Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.770Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.777Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.782Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.784Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.807Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.815Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.840Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.847Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:33.870Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.877Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.903Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.910Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.911Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.922Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.931Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.939Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.938Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.945Z {"method":"GET","path":"/api/admin/users?search=Test","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":3}
2026-07-30T06:36:33.948Z {"method":"POST","path":"/api/auth/register","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:33.969Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:33.971Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.100Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.100Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.100Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.108Z {"method":"GET","path":"/api/admin/users","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.114Z {"method":"GET","path":"/api/food/507f1f77bcf86cd799439011","status":404,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":5}
2026-07-30T06:36:34.129Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.131Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.239Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.246Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.256Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.258Z {"method":"POST","path":"/api/food","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.263Z {"method":"GET","path":"/api/admin/users","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.275Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.279Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.371Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.402Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.409Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.415Z {"method":"POST","path":"/api/food","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.420Z {"method":"GET","path":"/api/admin/users/6a6af0f21445737e2f2dfee7","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:34.441Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.444Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.532Z {"method":"POST","path":"/api/auth/login","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.570Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.570Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.576Z {"method":"GET","path":"/api/admin/users/507f1f77bcf86cd799439011","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.580Z {"method":"PUT","path":"/api/food/6a6af0f2d9a56ef2c02d71b6","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.592Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.595Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.658Z {"method":"POST","path":"/api/auth/forgot-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.718Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.723Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.725Z {"method":"PUT","path":"/api/admin/users/status","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.732Z {"method":"DELETE","path":"/api/food/6a6af0f2d9a56ef2c02d71c1","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.743Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.755Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.792Z {"method":"POST","path":"/api/auth/forgot-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.862Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:34.865Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.868Z {"method":"PUT","path":"/api/admin/users/status","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.882Z {"method":"POST","path":"/api/orders","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.884Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.899Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:34.924Z {"method":"POST","path":"/api/auth/forgot-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.004Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.012Z {"method":"PUT","path":"/api/admin/users/6a6af0f21445737e2f2dff0b","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.015Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.029Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.030Z {"method":"POST","path":"/api/orders","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.047Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.056Z {"method":"POST","path":"/api/auth/reset-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.148Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.165Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.179Z {"method":"GET","path":"/api/orders","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":2}
2026-07-30T06:36:35.190Z {"method":"POST","path":"/api/auth/reset-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.196Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.277Z {"method":"PUT","path":"/api/admin/users/6a6af0f31445737e2f2dff14","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.296Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.316Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.333Z {"method":"POST","path":"/api/auth/reset-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.333Z {"method":"GET","path":"/api/orders","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.356Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.426Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.433Z {"method":"DELETE","path":"/api/admin/users/6a6af0f31445737e2f2dff1f","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.456Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.483Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.500Z {"method":"GET","path":"/api/orders/6a6af0f3d9a56ef2c02d7206","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.501Z {"method":"POST","path":"/api/auth/reset-password","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.517Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.576Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.633Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.645Z {"method":"GET","path":"/api/orders/507f1f77bcf86cd799439011","status":401,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.662Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.697Z {"method":"DELETE","path":"/api/admin/users/6a6af0f31445737e2f2dff2a","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.718Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.785Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.799Z {"method":"PUT","path":"/api/orders/6a6af0f3d9a56ef2c02d7222/status","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.817Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.841Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.846Z {"method":"DELETE","path":"/api/admin/users/507f1f77bcf86cd799439011","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
2026-07-30T06:36:35.929Z {"method":"POST","path":"/api/auth/login","status":429,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":1}
2026-07-30T06:36:35.940Z {"method":"PUT","path":"/api/orders/6a6af0f3d9a56ef2c02d7230/status","status":403,"userId":null,"role":null,"ip":"::ffff:127.0.0.1","durationMs":0}
